target_end_date,location,value,target_variable,model
2013-08-04,hhs2,1.15352,inc wili,observed data
2013-08-04,hhs3,0.706269,inc wili,observed data
2013-08-04,hhs4,0.462664,inc wili,observed data
2013-08-04,hhs5,0.538487,inc wili,observed data
2013-08-04,hhs6,1.161,inc wili,observed data
2013-08-04,hhs7,0.706188,inc wili,observed data
2013-08-04,hhs8,0.507189,inc wili,observed data
2013-08-04,hhs9,1.15876,inc wili,observed data
2013-08-04,nat,0.755639,inc wili,observed data
2013-08-11,hhs1,0.335119,inc wili,observed data
2013-08-11,hhs10,0.123412,inc wili,observed data
2013-08-11,hhs2,0.765286,inc wili,observed data
2013-08-11,hhs3,0.741413,inc wili,observed data
2013-08-11,hhs4,0.550082,inc wili,observed data
2013-08-11,hhs5,0.722201,inc wili,observed data
2013-08-11,hhs6,1.29592,inc wili,observed data
2013-08-11,hhs7,0.470713,inc wili,observed data
2013-08-11,hhs8,0.465935,inc wili,observed data
2013-08-11,hhs9,1.10472,inc wili,observed data
2013-08-11,nat,0.761847,inc wili,observed data
2013-08-18,hhs1,0.413557,inc wili,observed data
2013-08-18,hhs10,0.127551,inc wili,observed data
2013-08-18,hhs2,0.801036,inc wili,observed data
2013-08-18,hhs3,0.807802,inc wili,observed data
2013-08-18,hhs4,0.624262,inc wili,observed data
2013-08-18,hhs5,0.64833,inc wili,observed data
2013-08-18,hhs6,1.41086,inc wili,observed data
2013-08-18,hhs7,0.46699,inc wili,observed data
2013-08-18,hhs8,0.443358,inc wili,observed data
2013-08-18,hhs9,1.03191,inc wili,observed data
2013-08-18,nat,0.779896,inc wili,observed data
2013-08-25,hhs1,0.333156,inc wili,observed data
2013-08-25,hhs10,0.117555,inc wili,observed data
2013-08-25,hhs2,0.82326,inc wili,observed data
2013-08-25,hhs3,0.923451,inc wili,observed data
2013-08-25,hhs4,0.659895,inc wili,observed data
2013-08-25,hhs5,0.731347,inc wili,observed data
2013-08-25,hhs6,1.69677,inc wili,observed data
2013-08-25,hhs7,0.199123,inc wili,observed data
2013-08-25,hhs8,0.748055,inc wili,observed data
2013-08-25,hhs9,1.36851,inc wili,observed data
2013-08-25,nat,0.899138,inc wili,observed data
2013-09-01,hhs1,0.304002,inc wili,observed data
2013-09-01,hhs10,0.13834,inc wili,observed data
2013-09-01,hhs2,0.672693,inc wili,observed data
2013-09-01,hhs3,0.797436,inc wili,observed data
2013-09-01,hhs4,0.727483,inc wili,observed data
2013-09-01,hhs5,0.730498,inc wili,observed data
2013-09-01,hhs6,2.33453,inc wili,observed data
2013-09-01,hhs7,0.703354,inc wili,observed data
2013-09-01,hhs8,0.694425,inc wili,observed data
2013-09-01,hhs9,1.46948,inc wili,observed data
2013-09-01,nat,0.999524,inc wili,observed data
2013-09-08,hhs1,0.338289,inc wili,observed data
2013-09-08,hhs10,0.204708,inc wili,observed data
2013-09-08,hhs2,0.676719,inc wili,observed data
2013-09-08,hhs3,1.19409,inc wili,observed data
2013-09-08,hhs4,0.7342,inc wili,observed data
2013-09-08,hhs5,0.819736,inc wili,observed data
2013-09-08,hhs6,2.29547,inc wili,observed data
2013-09-08,hhs7,0.859606,inc wili,observed data
2013-09-08,hhs8,0.35521200000000003,inc wili,observed data
2013-09-08,hhs9,1.51529,inc wili,observed data
2013-09-08,nat,1.0558,inc wili,observed data
2013-09-15,hhs1,0.460903,inc wili,observed data
2013-09-15,hhs10,0.299062,inc wili,observed data
2013-09-15,hhs2,0.885106,inc wili,observed data
2013-09-15,hhs3,1.20483,inc wili,observed data
2013-09-15,hhs4,0.666963,inc wili,observed data
2013-09-15,hhs5,0.886773,inc wili,observed data
2013-09-15,hhs6,2.4592,inc wili,observed data
2013-09-15,hhs7,0.760087,inc wili,observed data
2013-09-15,hhs8,0.387416,inc wili,observed data
2013-09-15,hhs9,1.49047,inc wili,observed data
2013-09-15,nat,1.0967,inc wili,observed data
2013-09-22,hhs1,0.98459,inc wili,observed data
2013-09-22,hhs10,0.34105,inc wili,observed data
2013-09-22,hhs2,0.84529,inc wili,observed data
2013-09-22,hhs3,1.19383,inc wili,observed data
2013-09-22,hhs4,0.974491,inc wili,observed data
2013-09-22,hhs5,0.887615,inc wili,observed data
2013-09-22,hhs6,2.63031,inc wili,observed data
2013-09-22,hhs7,0.878809,inc wili,observed data
2013-09-22,hhs8,0.591698,inc wili,observed data
2013-09-22,hhs9,1.70996,inc wili,observed data
2013-09-22,nat,1.24709,inc wili,observed data
2013-09-29,hhs1,0.621395,inc wili,observed data
2013-09-29,hhs10,0.429608,inc wili,observed data
2013-09-29,hhs2,1.60751,inc wili,observed data
2013-09-29,hhs3,0.926323,inc wili,observed data
2013-09-29,hhs4,0.943459,inc wili,observed data
2013-09-29,hhs5,0.885838,inc wili,observed data
2013-09-29,hhs6,2.1557,inc wili,observed data
2013-09-29,hhs7,0.649922,inc wili,observed data
2013-09-29,hhs8,0.687334,inc wili,observed data
2013-09-29,hhs9,1.36535,inc wili,observed data
2013-09-29,nat,1.15746,inc wili,observed data
2013-10-06,hhs1,0.654441,inc wili,observed data
2013-10-06,hhs10,0.405647,inc wili,observed data
2013-10-06,hhs2,1.69064,inc wili,observed data
2013-10-06,hhs3,1.05393,inc wili,observed data
2013-10-06,hhs4,1.00106,inc wili,observed data
2013-10-06,hhs5,1.03914,inc wili,observed data
2013-10-06,hhs6,2.23693,inc wili,observed data
2013-10-06,hhs7,0.848308,inc wili,observed data
2013-10-06,hhs8,0.73504100000000006,inc wili,observed data
2013-10-06,hhs9,1.60314,inc wili,observed data
2013-10-06,nat,1.27184,inc wili,observed data
2013-10-13,hhs1,0.741983,inc wili,observed data
2013-10-13,hhs10,0.511438,inc wili,observed data
2013-10-13,hhs2,1.96094,inc wili,observed data
2013-10-13,hhs3,1.04182,inc wili,observed data
2013-10-13,hhs4,1.0157,inc wili,observed data
2013-10-13,hhs5,0.987201,inc wili,observed data
2013-10-13,hhs6,2.43559,inc wili,observed data
2013-10-13,hhs7,0.708172,inc wili,observed data
2013-10-13,hhs8,0.644746,inc wili,observed data
2013-10-13,hhs9,1.60277,inc wili,observed data
2013-10-13,nat,1.31623,inc wili,observed data
2013-10-20,hhs1,0.80209,inc wili,observed data
2013-10-20,hhs10,0.513327,inc wili,observed data
2013-10-20,hhs2,1.69922,inc wili,observed data
2013-10-20,hhs3,1.12691,inc wili,observed data
2013-10-20,hhs4,1.23721,inc wili,observed data
2013-10-20,hhs5,1.11493,inc wili,observed data
2013-10-20,hhs6,2.39649,inc wili,observed data
2013-10-20,hhs7,0.912239,inc wili,observed data
2013-10-20,hhs8,0.811668,inc wili,observed data
2013-10-20,hhs9,1.59993,inc wili,observed data
2013-10-20,nat,1.37444,inc wili,observed data
2013-10-27,hhs1,0.905562,inc wili,observed data
2013-10-27,hhs10,0.535649,inc wili,observed data
2013-10-27,hhs2,2.01973,inc wili,observed data
2013-10-27,hhs3,1.10398,inc wili,observed data
2013-10-27,hhs4,1.29089,inc wili,observed data
2013-10-27,hhs5,1.17731,inc wili,observed data
2013-10-27,hhs6,2.51041,inc wili,observed data
2013-10-27,hhs7,0.796841,inc wili,observed data
2013-10-27,hhs8,0.71632,inc wili,observed data
2013-10-27,hhs9,1.80107,inc wili,observed data
2013-10-27,nat,1.46781,inc wili,observed data
2013-11-03,hhs1,0.955454,inc wili,observed data
2013-11-03,hhs10,0.379759,inc wili,observed data
2013-11-03,hhs2,1.78105,inc wili,observed data
2013-11-03,hhs3,1.12149,inc wili,observed data
2013-11-03,hhs4,1.49248,inc wili,observed data
2013-11-03,hhs5,1.2143,inc wili,observed data
2013-11-03,hhs6,2.91517,inc wili,observed data
2013-11-03,hhs7,0.893907,inc wili,observed data
2013-11-03,hhs8,0.753484,inc wili,observed data
2013-11-03,hhs9,2.06682,inc wili,observed data
2013-11-03,nat,1.5834,inc wili,observed data
2013-11-10,hhs1,0.851659,inc wili,observed data
2013-11-10,hhs10,0.503713,inc wili,observed data
2013-11-10,hhs2,1.54163,inc wili,observed data
2013-11-10,hhs3,1.25863,inc wili,observed data
2013-11-10,hhs4,1.47521,inc wili,observed data
2013-11-10,hhs5,1.16591,inc wili,observed data
2013-11-10,hhs6,3.29638,inc wili,observed data
2013-11-10,hhs7,0.864878,inc wili,observed data
2013-11-10,hhs8,0.706757,inc wili,observed data
2013-11-10,hhs9,2.0459,inc wili,observed data
2013-11-10,nat,1.60253,inc wili,observed data
2013-11-17,hhs1,0.692049,inc wili,observed data
2013-11-17,hhs10,0.469309,inc wili,observed data
2013-11-17,hhs2,1.85574,inc wili,observed data
2013-11-17,hhs3,1.18203,inc wili,observed data
2013-11-17,hhs4,1.69768,inc wili,observed data
2013-11-17,hhs5,1.20015,inc wili,observed data
2013-11-17,hhs6,3.70307,inc wili,observed data
2013-11-17,hhs7,1.03842,inc wili,observed data
2013-11-17,hhs8,0.953634,inc wili,observed data
2013-11-17,hhs9,1.9743,inc wili,observed data
2013-11-17,nat,1.72344,inc wili,observed data
2013-11-24,hhs1,0.91993,inc wili,observed data
2013-11-24,hhs10,0.680224,inc wili,observed data
2013-11-24,hhs2,2.02846,inc wili,observed data
2013-11-24,hhs3,1.51288,inc wili,observed data
2013-11-24,hhs4,2.16364,inc wili,observed data
2013-11-24,hhs5,1.68542,inc wili,observed data
2013-11-24,hhs6,4.39287,inc wili,observed data
2013-11-24,hhs7,1.121,inc wili,observed data
2013-11-24,hhs8,0.995917,inc wili,observed data
2013-11-24,hhs9,2.34894,inc wili,observed data
2013-11-24,nat,2.11076,inc wili,observed data
2013-12-01,hhs1,0.825554,inc wili,observed data
2013-12-01,hhs10,0.653257,inc wili,observed data
2013-12-01,hhs2,2.02368,inc wili,observed data
2013-12-01,hhs3,1.51609,inc wili,observed data
2013-12-01,hhs4,2.28842,inc wili,observed data
2013-12-01,hhs5,1.56576,inc wili,observed data
2013-12-01,hhs6,4.94593,inc wili,observed data
2013-12-01,hhs7,1.2566,inc wili,observed data
2013-12-01,hhs8,1.52746,inc wili,observed data
2013-12-01,hhs9,2.13631,inc wili,observed data
2013-12-01,nat,2.1708,inc wili,observed data
2013-12-08,hhs1,1.06768,inc wili,observed data
2013-12-08,hhs10,0.860692,inc wili,observed data
2013-12-08,hhs2,1.77828,inc wili,observed data
2013-12-08,hhs3,1.60178,inc wili,observed data
2013-12-08,hhs4,2.36927,inc wili,observed data
2013-12-08,hhs5,1.72177,inc wili,observed data
2013-12-08,hhs6,5.60209,inc wili,observed data
2013-12-08,hhs7,1.52616,inc wili,observed data
2013-12-08,hhs8,1.60235,inc wili,observed data
